dteday,season,yr,weekday,hr,rider_type,riders,COGS,price,Revenue,Profit
01/01/2022,1,1,0,0,casual,5,1.56,4.99,24.95,23.39
01/01/2022,1,1,0,0,registered,43,1.56,4.99,214.57,213.01
01/01/2022,1,1,0,1,casual,15,1.56,4.99,74.85,73.29
01/01/2022,1,1,0,1,registered,78,1.56,4.99,389.22,387.66
01/01/2022,1,1,0,2,casual,16,1.56,4.99,79.84,78.28
01/01/2022,1,1,0,2,registered,59,1.56,4.99,294.41,292.85
01/01/2022,1,1,0,3,casual,11,1.56,4.99,54.89,53.33
01/01/2022,1,1,0,3,registered,41,1.56,4.99,204.59,203.03
01/01/2022,1,1,0,4,casual,0,1.56,4.99,0,-1.56
01/01/2022,1,1,0,4,registered,8,1.56,4.99,39.92,38.36
01/01/2022,1,1,0,5,casual,0,1.56,4.99,0,-1.56
01/01/2022,1,1,0,5,registered,5,1.56,4.99,24.95,23.39
01/01/2022,1,1,0,6,casual,1,1.56,4.99,4.99,3.43
01/01/2022,1,1,0,6,registered,1,1.56,4.99,4.99,3.43
01/01/2022,1,1,0,7,casual,1,1.56,4.99,4.99,3.43
01/01/2022,1,1,0,7,registered,6,1.56,4.99,29.94,28.38
01/01/2022,1,1,0,8,casual,4,1.56,4.99,19.96,18.4
01/01/2022,1,1,0,8,registered,10,1.56,4.99,49.9,48.34
01/01/2022,1,1,0,9,casual,13,1.56,4.99,64.87,63.31
01/01/2022,1,1,0,9,registered,27,1.56,4.99,134.73,133.17
01/01/2022,1,1,0,10,casual,18,1.56,4.99,89.82,88.26
01/01/2022,1,1,0,10,registered,52,1.56,4.99,259.48,257.92
01/01/2022,1,1,0,11,casual,40,1.56,4.99,199.6,198.04
01/01/2022,1,1,0,11,registered,98,1.56,4.99,489.02,487.46
01/01/2022,1,1,0,12,casual,58,1.56,4.99,289.42,287.86
01/01/2022,1,1,0,12,registered,143,1.56,4.99,713.57,712.01
01/01/2022,1,1,0,13,casual,82,1.56,4.99,409.18,407.62
01/01/2022,1,1,0,13,registered,141,1.56,4.99,703.59,702.03
01/01/2022,1,1,0,14,casual,120,1.56,4.99,598.8,597.24
01/01/2022,1,1,0,14,registered,147,1.56,4.99,733.53,731.97
01/01/2022,1,1,0,15,casual,101,1.56,4.99,503.99,502.43
01/01/2022,1,1,0,15,registered,164,1.56,4.99,818.36,816.8
01/01/2022,1,1,0,16,casual,68,1.56,4.99,339.32,337.76
01/01/2022,1,1,0,16,registered,147,1.56,4.99,733.53,731.97
01/01/2022,1,1,0,17,casual,36,1.56,4.99,179.64,178.08
01/01/2022,1,1,0,17,registered,75,1.56,4.99,374.25,372.69
01/01/2022,1,1,0,18,casual,25,1.56,4.99,124.75,123.19
01/01/2022,1,1,0,18,registered,81,1.56,4.99,404.19,402.63
01/01/2022,1,1,0,19,casual,20,1.56,4.99,99.8,98.24
01/01/2022,1,1,0,19,registered,85,1.56,4.99,424.15,422.59
01/01/2022,1,1,0,20,casual,25,1.56,4.99,124.75,123.19
01/01/2022,1,1,0,20,registered,58,1.56,4.99,289.42,287.86
01/01/2022,1,1,0,21,casual,10,1.56,4.99,49.9,48.34
01/01/2022,1,1,0,21,registered,61,1.56,4.99,304.39,302.83
01/01/2022,1,1,0,22,casual,13,1.56,4.99,64.87,63.31
01/01/2022,1,1,0,22,registered,53,1.56,4.99,264.47,262.91
01/01/2022,1,1,0,23,casual,4,1.56,4.99,19.96,18.4
01/01/2022,1,1,0,23,registered,25,1.56,4.99,124.75,123.19
01/10/2021,4,0,6,0,casual,24,1.24,3.99,95.76,94.52
01/10/2021,4,0,6,0,registered,106,1.24,3.99,422.94,421.7
01/10/2021,4,0,6,1,casual,11,1.24,3.99,43.89,42.65
01/10/2021,4,0,6,1,registered,47,1.24,3.99,187.53,186.29
01/10/2021,4,0,6,2,casual,21,1.24,3.99,83.79,82.55
01/10/2021,4,0,6,2,registered,46,1.24,3.99,183.54,182.3
01/10/2021,4,0,6,3,casual,8,1.24,3.99,31.92,30.68
01/10/2021,4,0,6,3,registered,17,1.24,3.99,67.83,66.59
01/10/2021,4,0,6,4,casual,2,1.24,3.99,7.98,6.74
01/10/2021,4,0,6,4,registered,6,1.24,3.99,23.94,22.7
01/10/2021,4,0,6,5,casual,1,1.24,3.99,3.99,2.75
01/10/2021,4,0,6,5,registered,4,1.24,3.99,15.96,14.72
01/10/2021,4,0,6,6,casual,4,1.24,3.99,15.96,14.72
01/10/2021,4,0,6,6,registered,15,1.24,3.99,59.85,58.61
01/10/2021,4,0,6,7,casual,6,1.24,3.99,23.94,22.7
01/10/2021,4,0,6,7,registered,30,1.24,3.99,119.7,118.46
01/10/2021,4,0,6,8,casual,9,1.24,3.99,35.91,34.67
01/10/2021,4,0,6,8,registered,58,1.24,3.99,231.42,230.18
01/10/2021,4,0,6,9,casual,17,1.24,3.99,67.83,66.59
01/10/2021,4,0,6,9,registered,112,1.24,3.99,446.88,445.64
01/10/2021,4,0,6,10,casual,21,1.24,3.99,83.79,82.55
01/10/2021,4,0,6,10,registered,100,1.24,3.99,399,397.76
01/10/2021,4,0,6,11,casual,30,1.24,3.99,119.7,118.46
01/10/2021,4,0,6,11,registered,102,1.24,3.99,406.98,405.74
01/10/2021,4,0,6,12,casual,28,1.24,3.99,111.72,110.48
01/10/2021,4,0,6,12,registered,130,1.24,3.99,518.7,517.46
01/10/2021,4,0,6,13,casual,27,1.24,3.99,107.73,106.49
01/10/2021,4,0,6,13,registered,98,1.24,3.99,391.02,389.78
01/10/2021,4,0,6,14,casual,33,1.24,3.99,131.67,130.43
01/10/2021,4,0,6,14,registered,147,1.24,3.99,586.53,585.29
01/10/2021,4,0,6,15,casual,41,1.24,3.99,163.59,162.35
01/10/2021,4,0,6,15,registered,154,1.24,3.99,614.46,613.22
01/10/2021,4,0,6,16,casual,58,1.24,3.99,231.42,230.18
01/10/2021,4,0,6,16,registered,165,1.24,3.99,658.35,657.11
01/10/2021,4,0,6,17,casual,58,1.24,3.99,231.42,230.18
01/10/2021,4,0,6,17,registered,170,1.24,3.99,678.3,677.06
01/10/2021,4,0,6,18,casual,23,1.24,3.99,91.77,90.53
01/10/2021,4,0,6,18,registered,117,1.24,3.99,466.83,465.59
01/10/2021,4,0,6,19,casual,27,1.24,3.99,107.73,106.49
01/10/2021,4,0,6,19,registered,99,1.24,3.99,395.01,393.77
01/10/2021,4,0,6,20,casual,8,1.24,3.99,31.92,30.68
01/10/2021,4,0,6,20,registered,58,1.24,3.99,231.42,230.18
01/10/2021,4,0,6,21,casual,3,1.24,3.99,11.97,10.73
01/10/2021,4,0,6,21,registered,53,1.24,3.99,211.47,210.23
01/10/2021,4,0,6,22,casual,12,1.24,3.99,47.88,46.64
01/10/2021,4,0,6,22,registered,58,1.24,3.99,231.42,230.18
01/10/2021,4,0,6,23,casual,8,1.24,3.99,31.92,30.68
01/10/2021,4,0,6,23,registered,57,1.24,3.99,227.43,226.19
01/10/2022,4,1,1,0,casual,6,1.56,4.99,29.94,28.38
01/10/2022,4,1,1,0,registered,39,1.56,4.99,194.61,193.05
01/10/2022,4,1,1,1,casual,5,1.56,4.99,24.95,23.39
01/10/2022,4,1,1,1,registered,13,1.56,4.99,64.87,63.31
01/10/2022,4,1,1,2,casual,6,1.56,4.99,29.94,28.38
01/10/2022,4,1,1,2,registered,6,1.56,4.99,29.94,28.38
01/10/2022,4,1,1,3,casual,1,1.56,4.99,4.99,3.43
01/10/2022,4,1,1,3,registered,6,1.56,4.99,29.94,28.38
01/10/2022,4,1,1,4,casual,0,1.56,4.99,0,-1.56
01/10/2022,4,1,1,4,registered,10,1.56,4.99,49.9,48.34
01/10/2022,4,1,1,5,casual,2,1.56,4.99,9.98,8.42
01/10/2022,4,1,1,5,registered,34,1.56,4.99,169.66,168.1
01/10/2022,4,1,1,6,casual,8,1.56,4.99,39.92,38.36
01/10/2022,4,1,1,6,registered,147,1.56,4.99,733.53,731.97
01/10/2022,4,1,1,7,casual,13,1.56,4.99,64.87,63.31
01/10/2022,4,1,1,7,registered,470,1.56,4.99,2345.3,2343.74
01/10/2022,4,1,1,8,casual,40,1.56,4.99,199.6,198.04
01/10/2022,4,1,1,8,registered,744,1.56,4.99,3712.56,3711
01/10/2022,4,1,1,9,casual,26,1.56,4.99,129.74,128.18
01/10/2022,4,1,1,9,registered,314,1.56,4.99,1566.86,1565.3
01/10/2022,4,1,1,10,casual,44,1.56,4.99,219.56,218
01/10/2022,4,1,1,10,registered,135,1.56,4.99,673.65,672.09
01/10/2022,4,1,1,11,casual,76,1.56,4.99,379.24,377.68
01/10/2022,4,1,1,11,registered,196,1.56,4.99,978.04,976.48
01/10/2022,4,1,1,12,casual,61,1.56,4.99,304.39,302.83
01/10/2022,4,1,1,12,registered,262,1.56,4.99,1307.38,1305.82
01/10/2022,4,1,1,13,casual,80,1.56,4.99,399.2,397.64
01/10/2022,4,1,1,13,registered,225,1.56,4.99,1122.75,1121.19
01/10/2022,4,1,1,14,casual,51,1.56,4.99,254.49,252.93
01/10/2022,4,1,1,14,registered,193,1.56,4.99,963.07,961.51
01/10/2022,4,1,1,15,casual,95,1.56,4.99,474.05,472.49
01/10/2022,4,1,1,15,registered,234,1.56,4.99,1167.66,1166.1
01/10/2022,4,1,1,16,casual,51,1.56,4.99,254.49,252.93
01/10/2022,4,1,1,16,registered,408,1.56,4.99,2035.92,2034.36
01/10/2022,4,1,1,17,casual,65,1.56,4.99,324.35,322.79
01/10/2022,4,1,1,17,registered,791,1.56,4.99,3947.09,3945.53
01/10/2022,4,1,1,18,casual,42,1.56,4.99,209.58,208.02
01/10/2022,4,1,1,18,registered,571,1.56,4.99,2849.29,2847.73
01/10/2022,4,1,1,19,casual,33,1.56,4.99,164.67,163.11
01/10/2022,4,1,1,19,registered,483,1.56,4.99,2410.17,2408.61
01/10/2022,4,1,1,20,casual,11,1.56,4.99,54.89,53.33
01/10/2022,4,1,1,20,registered,251,1.56,4.99,1252.49,1250.93
01/10/2022,4,1,1,21,casual,13,1.56,4.99,64.87,63.31
01/10/2022,4,1,1,21,registered,205,1.56,4.99,1022.95,1021.39
01/10/2022,4,1,1,22,casual,17,1.56,4.99,84.83,83.27
01/10/2022,4,1,1,22,registered,190,1.56,4.99,948.1,946.54
01/10/2022,4,1,1,23,casual,17,1.56,4.99,84.83,83.27
01/10/2022,4,1,1,23,registered,88,1.56,4.99,439.12,437.56
01/11/2021,4,0,2,0,casual,3,1.24,3.99,11.97,10.73
01/11/2021,4,0,2,0,registered,18,1.24,3.99,71.82,70.58
01/11/2021,4,0,2,1,casual,3,1.24,3.99,11.97,10.73
01/11/2021,4,0,2,1,registered,8,1.24,3.99,31.92,30.68
01/11/2021,4,0,2,2,casual,1,1.24,3.99,3.99,2.75
01/11/2021,4,0,2,2,registered,3,1.24,3.99,11.97,10.73
01/11/2021,4,0,2,3,casual,1,1.24,3.99,3.99,2.75
01/11/2021,4,0,2,3,registered,5,1.24,3.99,19.95,18.71
01/11/2021,4,0,2,4,casual,1,1.24,3.99,3.99,2.75
01/11/2021,4,0,2,4,registered,7,1.24,3.99,27.93,26.69
01/11/2021,4,0,2,5,casual,0,1.24,3.99,0,-1.24
01/11/2021,4,0,2,5,registered,18,1.24,3.99,71.82,70.58
01/11/2021,4,0,2,6,casual,3,1.24,3.99,11.97,10.73
01/11/2021,4,0,2,6,registered,90,1.24,3.99,359.1,357.86
01/11/2021,4,0,2,7,casual,8,1.24,3.99,31.92,30.68
01/11/2021,4,0,2,7,registered,246,1.24,3.99,981.54,980.3
01/11/2021,4,0,2,8,casual,17,1.24,3.99,67.83,66.59
01/11/2021,4,0,2,8,registered,402,1.24,3.99,1603.98,1602.74
01/11/2021,4,0,2,9,casual,16,1.24,3.99,63.84,62.6
01/11/2021,4,0,2,9,registered,206,1.24,3.99,821.94,820.7
01/11/2021,4,0,2,10,casual,21,1.24,3.99,83.79,82.55
01/11/2021,4,0,2,10,registered,114,1.24,3.99,454.86,453.62
01/11/2021,4,0,2,11,casual,16,1.24,3.99,63.84,62.6
01/11/2021,4,0,2,11,registered,101,1.24,3.99,402.99,401.75
01/11/2021,4,0,2,12,casual,23,1.24,3.99,91.77,90.53
01/11/2021,4,0,2,12,registered,153,1.24,3.99,610.47,609.23
01/11/2021,4,0,2,13,casual,20,1.24,3.99,79.8,78.56
01/11/2021,4,0,2,13,registered,147,1.24,3.99,586.53,585.29
01/11/2021,4,0,2,14,casual,32,1.24,3.99,127.68,126.44
01/11/2021,4,0,2,14,registered,118,1.24,3.99,470.82,469.58
01/11/2021,4,0,2,15,casual,38,1.24,3.99,151.62,150.38
01/11/2021,4,0,2,15,registered,148,1.24,3.99,590.52,589.28
01/11/2021,4,0,2,16,casual,46,1.24,3.99,183.54,182.3
01/11/2021,4,0,2,16,registered,252,1.24,3.99,1005.48,1004.24
01/11/2021,4,0,2,17,casual,36,1.24,3.99,143.64,142.4
01/11/2021,4,0,2,17,registered,470,1.24,3.99,1875.3,1874.06
01/11/2021,4,0,2,18,casual,39,1.24,3.99,155.61,154.37
01/11/2021,4,0,2,18,registered,421,1.24,3.99,1679.79,1678.55
01/11/2021,4,0,2,19,casual,39,1.24,3.99,155.61,154.37
01/11/2021,4,0,2,19,registered,274,1.24,3.99,1093.26,1092.02
01/11/2021,4,0,2,20,casual,18,1.24,3.99,71.82,70.58
01/11/2021,4,0,2,20,registered,191,1.24,3.99,762.09,760.85
01/11/2021,4,0,2,21,casual,13,1.24,3.99,51.87,50.63
01/11/2021,4,0,2,21,registered,114,1.24,3.99,454.86,453.62
01/11/2021,4,0,2,22,casual,5,1.24,3.99,19.95,18.71
01/11/2021,4,0,2,22,registered,91,1.24,3.99,363.09,361.85
01/11/2021,4,0,2,23,casual,11,1.24,3.99,43.89,42.65
01/11/2021,4,0,2,23,registered,61,1.24,3.99,243.39,242.15
01/11/2022,4,1,4,0,casual,8,1.56,4.99,39.92,38.36
01/11/2022,4,1,4,0,registered,52,1.56,4.99,259.48,257.92
01/11/2022,4,1,4,1,casual,8,1.56,4.99,39.92,38.36
01/11/2022,4,1,4,1,registered,22,1.56,4.99,109.78,108.22
01/11/2022,4,1,4,2,casual,10,1.56,4.99,49.9,48.34
01/11/2022,4,1,4,2,registered,10,1.56,4.99,49.9,48.34
01/11/2022,4,1,4,3,casual,5,1.56,4.99,24.95,23.39
01/11/2022,4,1,4,3,registered,10,1.56,4.99,49.9,48.34
01/11/2022,4,1,4,4,casual,2,1.56,4.99,9.98,8.42
01/11/2022,4,1,4,4,registered,8,1.56,4.99,39.92,38.36
01/11/2022,4,1,4,5,casual,1,1.56,4.99,4.99,3.43
01/11/2022,4,1,4,5,registered,39,1.56,4.99,194.61,193.05
01/11/2022,4,1,4,6,casual,2,1.56,4.99,9.98,8.42
01/11/2022,4,1,4,6,registered,146,1.56,4.99,728.54,726.98
01/11/2022,4,1,4,7,casual,6,1.56,4.99,29.94,28.38
01/11/2022,4,1,4,7,registered,414,1.56,4.99,2065.86,2064.3
01/11/2022,4,1,4,8,casual,12,1.56,4.99,59.88,58.32
01/11/2022,4,1,4,8,registered,668,1.56,4.99,3333.32,3331.76
01/11/2022,4,1,4,9,casual,21,1.56,4.99,104.79,103.23
01/11/2022,4,1,4,9,registered,310,1.56,4.99,1546.9,1545.34
01/11/2022,4,1,4,10,casual,13,1.56,4.99,64.87,63.31
01/11/2022,4,1,4,10,registered,133,1.56,4.99,663.67,662.11
01/11/2022,4,1,4,11,casual,14,1.56,4.99,69.86,68.3
01/11/2022,4,1,4,11,registered,156,1.56,4.99,778.44,776.88
01/11/2022,4,1,4,12,casual,23,1.56,4.99,114.77,113.21
01/11/2022,4,1,4,12,registered,198,1.56,4.99,988.02,986.46
01/11/2022,4,1,4,13,casual,49,1.56,4.99,244.51,242.95
01/11/2022,4,1,4,13,registered,199,1.56,4.99,993.01,991.45
01/11/2022,4,1,4,14,casual,31,1.56,4.99,154.69,153.13
01/11/2022,4,1,4,14,registered,154,1.56,4.99,768.46,766.9
01/11/2022,4,1,4,15,casual,35,1.56,4.99,174.65,173.09
01/11/2022,4,1,4,15,registered,179,1.56,4.99,893.21,891.65
01/11/2022,4,1,4,16,casual,31,1.56,4.99,154.69,153.13
01/11/2022,4,1,4,16,registered,313,1.56,4.99,1561.87,1560.31
01/11/2022,4,1,4,17,casual,37,1.56,4.99,184.63,183.07
01/11/2022,4,1,4,17,registered,652,1.56,4.99,3253.48,3251.92
01/11/2022,4,1,4,18,casual,50,1.56,4.99,249.5,247.94
01/11/2022,4,1,4,18,registered,628,1.56,4.99,3133.72,3132.16
01/11/2022,4,1,4,19,casual,28,1.56,4.99,139.72,138.16
01/11/2022,4,1,4,19,registered,424,1.56,4.99,2115.76,2114.2
01/11/2022,4,1,4,20,casual,16,1.56,4.99,79.84,78.28
01/11/2022,4,1,4,20,registered,280,1.56,4.99,1397.2,1395.64
01/11/2022,4,1,4,21,casual,29,1.56,4.99,144.71,143.15
01/11/2022,4,1,4,21,registered,238,1.56,4.99,1187.62,1186.06
01/11/2022,4,1,4,22,casual,27,1.56,4.99,134.73,133.17
01/11/2022,4,1,4,22,registered,175,1.56,4.99,873.25,871.69
01/11/2022,4,1,4,23,casual,8,1.56,4.99,39.92,38.36
01/11/2022,4,1,4,23,registered,112,1.56,4.99,558.88,557.32
01/12/2021,4,0,4,0,casual,1,1.24,3.99,3.99,2.75
01/12/2021,4,0,4,0,registered,19,1.24,3.99,75.81,74.57
01/12/2021,4,0,4,1,casual,1,1.24,3.99,3.99,2.75
01/12/2021,4,0,4,1,registered,9,1.24,3.99,35.91,34.67
01/12/2021,4,0,4,2,casual,1,1.24,3.99,3.99,2.75
01/12/2021,4,0,4,2,registered,8,1.24,3.99,31.92,30.68
01/12/2021,4,0,4,3,casual,1,1.24,3.99,3.99,2.75
01/12/2021,4,0,4,3,registered,6,1.24,3.99,23.94,22.7
01/12/2021,4,0,4,4,casual,0,1.24,3.99,0,-1.24
01/12/2021,4,0,4,4,registered,1,1.24,3.99,3.99,2.75
01/12/2021,4,0,4,5,casual,1,1.24,3.99,3.99,2.75
01/12/2021,4,0,4,5,registered,23,1.24,3.99,91.77,90.53
01/12/2021,4,0,4,6,casual,5,1.24,3.99,19.95,18.71
01/12/2021,4,0,4,6,registered,92,1.24,3.99,367.08,365.84
01/12/2021,4,0,4,7,casual,11,1.24,3.99,43.89,42.65
01/12/2021,4,0,4,7,registered,265,1.24,3.99,1057.35,1056.11
01/12/2021,4,0,4,8,casual,15,1.24,3.99,59.85,58.61
01/12/2021,4,0,4,8,registered,462,1.24,3.99,1843.38,1842.14
01/12/2021,4,0,4,9,casual,9,1.24,3.99,35.91,34.67
01/12/2021,4,0,4,9,registered,215,1.24,3.99,857.85,856.61
01/12/2021,4,0,4,10,casual,7,1.24,3.99,27.93,26.69
01/12/2021,4,0,4,10,registered,86,1.24,3.99,343.14,341.9
01/12/2021,4,0,4,11,casual,7,1.24,3.99,27.93,26.69
01/12/2021,4,0,4,11,registered,95,1.24,3.99,379.05,377.81
01/12/2021,4,0,4,12,casual,9,1.24,3.99,35.91,34.67
01/12/2021,4,0,4,12,registered,139,1.24,3.99,554.61,553.37
01/12/2021,4,0,4,13,casual,17,1.24,3.99,67.83,66.59
01/12/2021,4,0,4,13,registered,137,1.24,3.99,546.63,545.39
01/12/2021,4,0,4,14,casual,20,1.24,3.99,79.8,78.56
01/12/2021,4,0,4,14,registered,130,1.24,3.99,518.7,517.46
01/12/2021,4,0,4,15,casual,10,1.24,3.99,39.9,38.66
01/12/2021,4,0,4,15,registered,144,1.24,3.99,574.56,573.32
01/12/2021,4,0,4,16,casual,9,1.24,3.99,35.91,34.67
01/12/2021,4,0,4,16,registered,192,1.24,3.99,766.08,764.84
01/12/2021,4,0,4,17,casual,9,1.24,3.99,35.91,34.67
01/12/2021,4,0,4,17,registered,409,1.24,3.99,1631.91,1630.67
01/12/2021,4,0,4,18,casual,12,1.24,3.99,47.88,46.64
01/12/2021,4,0,4,18,registered,393,1.24,3.99,1568.07,1566.83
01/12/2021,4,0,4,19,casual,9,1.24,3.99,35.91,34.67
01/12/2021,4,0,4,19,registered,219,1.24,3.99,873.81,872.57
01/12/2021,4,0,4,20,casual,12,1.24,3.99,47.88,46.64
01/12/2021,4,0,4,20,registered,178,1.24,3.99,710.22,708.98
01/12/2021,4,0,4,21,casual,8,1.24,3.99,31.92,30.68
01/12/2021,4,0,4,21,registered,154,1.24,3.99,614.46,613.22
01/12/2021,4,0,4,22,casual,5,1.24,3.99,19.95,18.71
01/12/2021,4,0,4,22,registered,99,1.24,3.99,395.01,393.77
01/12/2021,4,0,4,23,casual,3,1.24,3.99,11.97,10.73
01/12/2021,4,0,4,23,registered,70,1.24,3.99,279.3,278.06
01/12/2022,4,1,6,0,casual,9,1.56,4.99,44.91,43.35
01/12/2022,4,1,6,0,registered,99,1.56,4.99,494.01,492.45
01/12/2022,4,1,6,1,casual,5,1.56,4.99,24.95,23.39
01/12/2022,4,1,6,1,registered,64,1.56,4.99,319.36,317.8
01/12/2022,4,1,6,2,casual,3,1.56,4.99,14.97,13.41
01/12/2022,4,1,6,2,registered,47,1.56,4.99,234.53,232.97
01/12/2022,4,1,6,3,casual,1,1.56,4.99,4.99,3.43
01/12/2022,4,1,6,3,registered,14,1.56,4.99,69.86,68.3
01/12/2022,4,1,6,4,casual,0,1.56,4.99,0,-1.56
01/12/2022,4,1,6,4,registered,5,1.56,4.99,24.95,23.39
01/12/2022,4,1,6,5,casual,1,1.56,4.99,4.99,3.43
01/12/2022,4,1,6,5,registered,12,1.56,4.99,59.88,58.32
01/12/2022,4,1,6,6,casual,7,1.56,4.99,34.93,33.37
01/12/2022,4,1,6,6,registered,20,1.56,4.99,99.8,98.24
01/12/2022,4,1,6,7,casual,7,1.56,4.99,34.93,33.37
01/12/2022,4,1,6,7,registered,56,1.56,4.99,279.44,277.88
01/12/2022,4,1,6,8,casual,11,1.56,4.99,54.89,53.33
01/12/2022,4,1,6,8,registered,133,1.56,4.99,663.67,662.11
01/12/2022,4,1,6,9,casual,34,1.56,4.99,169.66,168.1
01/12/2022,4,1,6,9,registered,159,1.56,4.99,793.41,791.85
01/12/2022,4,1,6,10,casual,45,1.56,4.99,224.55,222.99
01/12/2022,4,1,6,10,registered,211,1.56,4.99,1052.89,1051.33
01/12/2022,4,1,6,11,casual,74,1.56,4.99,369.26,367.7
01/12/2022,4,1,6,11,registered,318,1.56,4.99,1586.82,1585.26
01/12/2022,4,1,6,12,casual,119,1.56,4.99,593.81,592.25
01/12/2022,4,1,6,12,registered,327,1.56,4.99,1631.73,1630.17
01/12/2022,4,1,6,13,casual,123,1.56,4.99,613.77,612.21
01/12/2022,4,1,6,13,registered,386,1.56,4.99,1926.14,1924.58
01/12/2022,4,1,6,14,casual,110,1.56,4.99,548.9,547.34
01/12/2022,4,1,6,14,registered,369,1.56,4.99,1841.31,1839.75
01/12/2022,4,1,6,15,casual,113,1.56,4.99,563.87,562.31
01/12/2022,4,1,6,15,registered,371,1.56,4.99,1851.29,1849.73
01/12/2022,4,1,6,16,casual,89,1.56,4.99,444.11,442.55
01/12/2022,4,1,6,16,registered,354,1.56,4.99,1766.46,1764.9
01/12/2022,4,1,6,17,casual,50,1.56,4.99,249.5,247.94
01/12/2022,4,1,6,17,registered,270,1.56,4.99,1347.3,1345.74
01/12/2022,4,1,6,18,casual,42,1.56,4.99,209.58,208.02
01/12/2022,4,1,6,18,registered,255,1.56,4.99,1272.45,1270.89
01/12/2022,4,1,6,19,casual,30,1.56,4.99,149.7,148.14
01/12/2022,4,1,6,19,registered,219,1.56,4.99,1092.81,1091.25
01/12/2022,4,1,6,20,casual,28,1.56,4.99,139.72,138.16
01/12/2022,4,1,6,20,registered,170,1.56,4.99,848.3,846.74
01/12/2022,4,1,6,21,casual,23,1.56,4.99,114.77,113.21
01/12/2022,4,1,6,21,registered,135,1.56,4.99,673.65,672.09
01/12/2022,4,1,6,22,casual,17,1.56,4.99,84.83,83.27
01/12/2022,4,1,6,22,registered,130,1.56,4.99,648.7,647.14
01/12/2022,4,1,6,23,casual,10,1.56,4.99,49.9,48.34
01/12/2022,4,1,6,23,registered,116,1.56,4.99,578.84,577.28
